ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
61,SE-110a,SE-110a,Apple Systems Co.,APLC,pioneerClothing,OVE,3f047ec3043bdd795fd7272d6be98799,0.019999999552965164,0.02500000037252903,176.0,1.0,AIC,3,1761158851601,1761504451601,
2,SE-110d,SE-110d,IronVein,IV14,carbon,C,ef1d03e7ef924395c2173fc4e4ee8a6f,2.25,1.0,1500.0,1200000.0,AIC,5,1761330799728,1761676399728,
96456,UV-796b,Proxion,GEP-OFFICE,GPO,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,50.0,7500.0,CIS,1,1761380592317,1761726192317,
96455,UV-796b,Proxion,GEP-OFFICE,GPO,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,50.0,7500.0,CIS,1,1761380591634,1761726191634,
96454,UV-796b,Proxion,GEP-OFFICE,GPO,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,50.0,7500.0,CIS,1,1761380590928,1761726190928,
96453,UV-796b,Proxion,GEP-OFFICE,GPO,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,50.0,7500.0,CIS,1,1761380590172,1761726190172,
96452,UV-796b,Proxion,GEP-OFFICE,GPO,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,50.0,7500.0,CIS,1,1761380589369,1761726189369,
96451,UV-796b,Proxion,GEP-OFFICE,GPO,carbohydrateMaize,MAI,510e7751c0eb6a51fd0fa73565365d1c,1.2999999523162842,1.0,100.0,30000.0,CIS,1,1761375811667,1761635011667,
96426,UV-796b,Proxion,Vector M Industries,VMI,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,1000.0,40000.0,CIS,3,1761014010696,1761878010696,
8179,RC-040b,Malahat,Soletta Engineering,SLE,ftlFuel,FF,ba98fa0cf77040a96cd8a608ad0d08e9,0.05000000074505806,0.009999999776482582,200.0,8000.0,CIS,3,1761031767036,1763623767036,
8176,RC-040b,Malahat,Androidica Intergalactic,PC7,engineerBundle,EBU,1237e1d7ac57367e39b6a2406ca4dadc,51.0,46.0,1.0,220000.0,AIC,2,1760989159583,1763581159583,
8175,RC-040b,Malahat,Androidica Intergalactic,PC7,engineerBundle,EBU,1237e1d7ac57367e39b6a2406ca4dadc,51.0,46.0,1.0,220000.0,AIC,2,1760989158014,1763581158014,
8174,RC-040b,Malahat,Androidica Intergalactic,PC7,scientistBundle,CBU,1237e1d7ac57367e39b6a2406ca4dadc,54.0,47.0,1.0,400000.0,AIC,2,1760989134327,1763581134327,
8173,RC-040b,Malahat,Androidica Intergalactic,PC7,scientistBundle,CBU,1237e1d7ac57367e39b6a2406ca4dadc,54.0,47.0,1.0,400000.0,AIC,2,1760989133290,1763581133290,
8172,RC-040b,Malahat,Androidica Intergalactic,PC7,scientistBundle,CBU,1237e1d7ac57367e39b6a2406ca4dadc,54.0,47.0,1.0,400000.0,CIS,2,1760989130256,1763581130256,
8171,RC-040b,Malahat,Androidica Intergalactic,PC7,scientistBundle,CBU,1237e1d7ac57367e39b6a2406ca4dadc,54.0,47.0,1.0,400000.0,CIS,2,1760989127977,1763581127977,
172,WU-070a,Hyalos,Delvetia,DELV,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1.0,500.0,46000.0,AIC,3,1761389488126,1761821488126,
171,WU-070a,Hyalos,Delvetia,DELV,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1.0,500.0,46000.0,AIC,3,1761389487476,1761821487476,
170,WU-070a,Hyalos,Delvetia,DELV,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1.0,500.0,46000.0,AIC,3,1761389486552,1761821486552,
169,WU-070a,Hyalos,Delvetia,DELV,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1.0,500.0,46000.0,AIC,3,1761389482743,1761821482743,
535,ZK-602b,ZK-602b,Amp Partners,AMP,goldOre,AUO,4c0430b40fbf7fa175ed4a5a13682c6f,3.859999895095825,1.0,200.0,50000.0,NCC,2,1761060962443,1763652962443,
534,ZK-602b,ZK-602b,Amp Partners,AMP,goldOre,AUO,4c0430b40fbf7fa175ed4a5a13682c6f,3.859999895095825,1.0,200.0,50000.0,NCC,2,1761060961770,1763652961770,
533,ZK-602b,ZK-602b,Amp Partners,AMP,goldOre,AUO,4c0430b40fbf7fa175ed4a5a13682c6f,3.859999895095825,1.0,200.0,50000.0,NCC,2,1761060960845,1763652960845,
527,ZK-602b,ZK-602b,Amp Partners,AMP,goldOre,AUO,4c0430b40fbf7fa175ed4a5a13682c6f,3.859999895095825,1.0,200.0,50000.0,NCC,2,1759604412124,1762196412124,
230,ZV-759d,Agamemnon,Aether Manufacturing,AMU,sodium,NA,ef1d03e7ef924395c2173fc4e4ee8a6f,0.9700000286102295,1.0,1500.0,30000.0,AIC,3,1761229110528,1761661110528,
54032,ZV-759c,Deimos,Haberdashery Inc,HABE,aluminiumOre,ALO,4c0430b40fbf7fa175ed4a5a13682c6f,1.350000023841858,1.0,100.0,21000.0,AIC,1,1761374587912,1761460987912,
54030,ZV-759c,Deimos,ShrewdFarms,SFRM,aluminiumOre,ALO,4c0430b40fbf7fa175ed4a5a13682c6f,1.350000023841858,1.0,1000.0,220000.0,AIC,1,1761302860659,1761821260659,
54029,ZV-759c,Deimos,Galadene,WSW,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1.0,500.0,42500.0,AIC,20,1761284443653,1761716443653,
54028,ZV-759c,Deimos,Galadene,WSW,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1.0,500.0,42500.0,AIC,20,1761284442483,1761716442483,
1752,ZV-759b,Vulcan,ShrewdFarms,SFRM,aluminiumOre,ALO,4c0430b40fbf7fa175ed4a5a13682c6f,1.350000023841858,1.0,1000.0,225000.0,AIC,1,1761322607524,1762100207524,
500,YI-715a,Chrono,ScorpiumEnterprises,SES,copperOre,CUO,4c0430b40fbf7fa175ed4a5a13682c6f,4.010000228881836,1.0,200.0,40000.0,AIC,3,1760558004121,1761422004121,
499,YI-715a,Chrono,ScorpiumEnterprises,SES,copperOre,CUO,4c0430b40fbf7fa175ed4a5a13682c6f,4.010000228881836,1.0,200.0,40000.0,AIC,3,1760558003439,1761422003439,
498,YI-715a,Chrono,ScorpiumEnterprises,SES,copperOre,CUO,4c0430b40fbf7fa175ed4a5a13682c6f,4.010000228881836,1.0,200.0,40000.0,AIC,3,1760558002726,1761422002726,
42947,YI-715b,Verdant,Micromine,MME,fattyNuts,NUT,510e7751c0eb6a51fd0fa73565365d1c,0.8999999761581421,1.0,200.0,74000.0,NCC,3,1760771328396,1761635328396,
42836,YI-715b,Verdant,Soletta Engineering,SLE,ftlFuel,FF,ba98fa0cf77040a96cd8a608ad0d08e9,0.05000000074505806,0.009999999776482582,200.0,8000.0,NCC,3,1759646285236,1762238285236,
42835,YI-715b,Verdant,Soletta Engineering,SLE,stlFuel,SF,ba98fa0cf77040a96cd8a608ad0d08e9,0.05999999865889549,0.05999999865889549,200.0,8000.0,NCC,3,1759646281333,1762238281333,
42815,YI-715b,Verdant,CD Enterprises,CD36,carbohydrateMaize,MAI,510e7751c0eb6a51fd0fa73565365d1c,1.2999999523162842,1.0,1000.0,400000.0,NCC,5,1759273560383,1761865560383,
