cx,ticker,bid,ask,ts
IC1,CBL,91000.0,100000.0,1761416200623
NC1,ADR,82000.0,120000.0,1761416200623
AI1,ETC,,19900.0,1761416200623
AI1,ARP,,10000.0,1761416200623
NC2,BHP,,3700.0,1761416200623
NC2,CBM,,69900.0,1761416200623
IC1,CF,3000.0,7840.0,1761416200623
AI1,CST,,4450.0,1761416200623
CI1,CTF,14000.0,,1761416200623
NC2,CTF,,20500.0,1761416200623
NC1,DA,50000.0,,1761416200623
IC1,DCH,20000.0,,1761416200623
CI1,DDT,2400.0,3800.0,1761416200623
AI1,GC,80.0,360.0,1761416200623
AI1,SEQ,18000.0,19000.0,1761416200623
AI1,SIL,,2840.0,1761416200623
CI1,CAF,1350.0,2000.0,1761416200623
CI1,MHL,3810.0,4800.0,1761416200623
CI1,CCD,80000.0,90000.0,1761416200623
AI1,BBH,2500.0,2550.0,1761416200623
CI1,SSC,376.0,640.0,1761416200623
AI1,MHL,4500.0,5310.0,1761416200623
IC1,SEN,700.0,1850.0,1761416200623
NC2,MHL,,4900.0,1761416200623
NC2,DCM,,4900.0,1761416200623
IC1,BGC,500.0,599.0,1761416200623
AI1,COF,772.0,866.0,1761416200623
CI2,ASE,33000.0,,1761416200623
IC1,AWH,,24800.0,1761416200623
NC1,AWH,12000.0,19000.0,1761416200623
AI1,BLE,2000.0,3000.0,1761416200623
NC2,CD,,13200.0,1761416200623
CI2,CLI,170.0,250.0,1761416200623
NC2,DCS,,1840.0,1761416200623
CI1,DD,,44400.0,1761416200623
CI2,DDT,,3500.0,1761416200623
IC1,DIS,,6500.0,1761416200623
CI1,DOU,,449000.0,1761416200623
IC1,ENG,100000.0,1100000.0,1761416200623
NC1,LIS,451000.0,475000.0,1761416200623
NC2,NA,1.0,16.0,1761416200623
CI2,OVE,101.0,125.0,1761416200623
CI2,SIL,,10000.0,1761416200623
NC2,CLI,,375.0,1761416200623
NC2,GIN,1300.0,1900.0,1761416200623
CI2,PE,,12.0,1761416200623
CI1,FAL,,4250.0,1761416200623
NC2,FE,625.0,850.0,1761416200623
AI1,PDA,2200.0,2400.0,1761416200623
AI1,N,124.0,125.0,1761416200623
IC1,ADS,90000.0,120000.0,1761416200623
CI1,BL,8000.0,9000.0,1761416200623
NC1,BPT,4800.0,11500.0,1761416200623
NC2,BSC,,52000.0,1761416200623
IC1,BWH,3500.0,,1761416200623
CI1,CQS,600000.0,900000.0,1761416200623
CI1,CST,,2400.0,1761416200623
NC1,DIS,,8800.0,1761416200623
AI1,DRF,5200.0,5700.0,1761416200623
CI1,EDC,8000.0,9400.0,1761416200623
CI2,EDC,,11000.0,1761416200623
NC2,EXO,,310.0,1761416200623
CI1,HD,2100.0,2650.0,1761416200623
NC2,HER,1750.0,2400.0,1761416200623
NC2,PSL,,4130.0,1761416200623
AI1,RDL,1200000.0,1500000.0,1761416200623
CI2,S,,250.0,1761416200623
CI2,SCN,,2500.0,1761416200623
IC1,ACS,,140000.0,1761416200623
IC1,BAC,2100.0,2300.0,1761416200623
IC1,FAL,1000.0,2680.0,1761416200623
NC1,BE,1300.0,1600.0,1761416200623
IC1,BCO,650.0,681.0,1761416200623
AI1,HEX,1000.0,2000.0,1761416200623
IC1,CBS,42000.0,43800.0,1761416200623
CI1,WR,140000.0,,1761416200623
IC1,SIL,,2530.0,1761416200623
CI1,THF,411.0,459.0,1761416200623
NC2,ADS,,128000.0,1761416200623
NC1,BLE,1900.0,2400.0,1761416200623
CI1,BR2,,949000.0,1761416200623
NC1,CA,207.0,1200.0,1761416200623
NC1,CQT,100000.0,278000.0,1761416200623
NC1,CRU,300000.0,1000000.0,1761416200623
NC1,DD,36000.0,38900.0,1761416200623
NC1,DV,14000.0,15000.0,1761416200623
AI1,EES,,55000.0,1761416200623
CI1,F,1900.0,4400.0,1761416200623
AI1,FAL,1920.0,2400.0,1761416200623
CI2,FEO,60.0,,1761416200623
NC1,GL,255.0,310.0,1761416200623
CI2,MAG,,300.0,1761416200623
NC2,MED,1000.0,1400.0,1761416200623
IC1,RED,60000.0,,1761416200623
CI1,FET,2500.0,3880.0,1761416200623
CI1,LFE,155000.0,174000.0,1761416200623
IC1,HOP,1510.0,2250.0,1761416200623
CI1,BER,400.0,529.0,1761416200623
AI1,AUO,405.0,470.0,1761416200623
IC1,HER,1810.0,2260.0,1761416200623
CI1,WS,3000.0,4500.0,1761416200623
IC1,GV,2200.0,2280.0,1761416200623
CI1,ADS,101000.0,120000.0,1761416200623
NC2,RAM,,3000.0,1761416200623
CI1,AEF,3730.0,4450.0,1761416200623
AI1,LSE,9510.0,10000.0,1761416200623
IC1,CAP,100.0,280.0,1761416200623
IC1,CQS,,829000.0,1761416200623
IC1,DCM,3500.0,,1761416200623
AI1,DV,13000.0,14000.0,1761416200623
IC1,F,310.0,2300.0,1761416200623
NC2,FIM,,1900.0,1761416200623
NC2,FLP,,630.0,1761416200623
NC1,HHP,,5000.0,1761416200623
NC1,PK,450.0,950.0,1761416200623
NC1,PSS,1010.0,1340.0,1761416200623
NC1,TA,9000.0,10000.0,1761416200623
AI1,BAI,18000.0,,1761416200623
NC2,FF,17.1,20.0,1761416200623
IC1,DCS,1460.0,2300.0,1761416200623
CI1,SFL,,138000.0,1761416200623
IC1,AWF,,6000.0,1761416200623
CI2,DW,100.0,110.0,1761416200623
IC1,ALE,1210.0,1250.0,1761416200623
CI1,BE,1460.0,1600.0,1761416200623
NC2,BEA,250.0,325.0,1761416200623
NC1,BND,200.0,225.0,1761416200623
CI2,CBS,,50000.0,1761416200623
AI1,DA,45000.0,60000.0,1761416200623
CI1,DCS,1520.0,1840.0,1761416200623
NC1,FET,3500.0,4010.0,1761416200623
NC2,FOD,400.0,,1761416200623
NC1,FUN,,199000.0,1761416200623
CI2,GAL,,160.0,1761416200623
NC2,GAL,,275.0,1761416200623
AI1,GCH,,14500.0,1761416200623
NC1,GCH,,8000.0,1761416200623
CI2,H,100.0,115.0,1761416200623
AI1,IMM,100000.0,110000.0,1761416200623
CI1,VCB,,971000.0,1761416200623
NC2,C,,750.0,1761416200623
CI1,COM,71100.0,120000.0,1761416200623
CI1,SRP,,22000.0,1761416200623
IC1,BER,450.0,480.0,1761416200623
IC1,BRM,100.0,244.0,1761416200623
NC1,CBL,91100.0,94800.0,1761416200623
IC1,HE3,300.0,469.0,1761416200623
IC1,RAD,,19000.0,1761416200623
IC1,LIO,340.0,360.0,1761416200623
CI1,BEA,330.0,385.0,1761416200623
CI1,AWH,,24900.0,1761416200623
CI2,CBL,,91000.0,1761416200623
NC2,CBL,,92000.0,1761416200623
IC1,CRU,200000.0,,1761416200623
NC1,ENG,700000.0,975000.0,1761416200623
NC1,FOD,320.0,450.0,1761416200623
IC1,GEN,170000.0,200000.0,1761416200623
NC2,GL,,297.0,1761416200623
CI1,BOR,331.0,550.0,1761416200623
IC1,RDE,25800.0,36000.0,1761416200623
NC2,BBH,1960.0,2550.0,1761416200623
IC1,OVE,101.0,152.0,1761416200623
CI1,ZIR,500.0,2000.0,1761416200623
AI1,AGS,250000.0,,1761416200623
NC2,HCC,,800.0,1761416200623
AI1,ZR,14000.0,16000.0,1761416200623
NC1,CQS,,750000.0,1761416200623
IC1,I,377.0,876.0,1761416200623
NC1,HER,1900.0,2180.0,1761416200623
NC1,VEG,258.0,324.0,1761416200623
NC1,RCO,1160.0,1350.0,1761416200623
NC1,NN,56000.0,57000.0,1761416200623
NC1,NA,25.0,25.1,1761416200623
NC1,ABH,46500.0,48300.0,1761416200623
NC1,ATP,,25000.0,1761416200623
NC1,AWF,5000.0,5200.0,1761416200623
CI1,BGO,2100.0,2670.0,1761416200623
CI1,BGS,,199000.0,1761416200623
IC1,BOS,2910.0,5000.0,1761416200623
CI1,DV,10000.0,14000.0,1761416200623
NC1,EDC,8000.0,9890.0,1761416200623
NC2,H2O,41.0,42.0,1761416200623
CI1,HAB,,140000.0,1761416200623
NC2,HAL,,269.0,1761416200623
