ContractNaturalId,PlanetNaturalId,PlanetName,CreatorCompanyName,CreatorCompanyCode,MaterialName,MaterialTicker,MaterialCategory,MaterialWeight,MaterialVolume,MaterialAmount,Price,PriceCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
1092,YK-649b,Norwick,Di'Mirkon Heavy Industries,DHI,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,1000.0,140000.0,AIC,5,1759868555905,1762460555905,
1091,YK-649b,Norwick,Di'Mirkon Heavy Industries,DHI,rations,RAT,3f047ec3043bdd795fd7272d6be98799,0.20999999344348907,0.10000000149011612,1000.0,140000.0,AIC,5,1759868554602,1762460554602,
33,ZV-194d,ZV-194d,Rahej Incorporated,RAH,goldOre,AUO,4c0430b40fbf7fa175ed4a5a13682c6f,3.859999895095825,1.0,300.0,170000.0,AIC,2,1761229574658,1761661574658,
21821,ZV-307d,Phobos,Kmart-Blockbuster Mining Corp,KBMC,oxygen,O,54dec1e42eba44dda423dd774393326a,1.1410000324249268,1.0,1.0,100.0,AIC,3,1761380750152,1761553550152,
21771,ZV-307d,Phobos,Femboy Farms N Furnace,FMBY,water,H2O,473218d3618453bf25d2cd0b5616a72f,0.20000000298023224,0.20000000298023224,5000.0,160000.0,AIC,5,1759048647368,1761640647368,
3734,ZV-307c,Hephaestus,ShihidoCore,SHCO,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1.0,100.0,100000.0,AIC,5,1758880799934,1761472799934,
3733,ZV-307c,Hephaestus,ShihidoCore,SHCO,aluminium,AL,cae48680d4c4e6f98d593a8c3778cb56,2.700000047683716,1.0,100.0,100000.0,AIC,5,1758880796985,1761472796985,
1748,ZV-759b,Vulcan,Poor Decisions Co,PDC,iron,FE,cae48680d4c4e6f98d593a8c3778cb56,7.874000072479248,1.0,100.0,90000.0,AIC,3,1761158517180,1761590517180,
1747,ZV-759b,Vulcan,Poor Decisions Co,PDC,steel,STL,cae48680d4c4e6f98d593a8c3778cb56,7.849999904632568,1.0,100.0,200000.0,AIC,3,1761158510442,1761590510442,
1746,ZV-759b,Vulcan,Poor Decisions Co,PDC,steel,STL,cae48680d4c4e6f98d593a8c3778cb56,7.849999904632568,1.0,100.0,200000.0,AIC,3,1761158506918,1761590506918,
1745,ZV-759b,Vulcan,Poor Decisions Co,PDC,steel,STL,cae48680d4c4e6f98d593a8c3778cb56,7.849999904632568,1.0,100.0,200000.0,AIC,3,1761158506021,1761590506021,
