ts_ms,category,rank,cx,ticker,value,aux,note
1761416245190,best_pct_spread,37,IC1,BDE,1.2903225806451613,30.0,
1761416245190,best_pct_spread,38,NC1,MAI,1.342281879194631,5.0,
1761416245190,best_pct_spread,39,NC1,NUT,1.342281879194631,5.0,
1761416245190,best_pct_spread,40,AI1,BEA,1.4184397163120568,5.0,
1761416245190,best_pct_spread,41,CI1,LOG,1.4598540145985401,1000.0,
1761416245190,best_pct_spread,42,UN,SF,1.4913007456503822,0.22500000000000142,
1761416245190,best_pct_spread,43,CI1,SF,1.5151515151515234,0.20000000000000107,
1761416245190,best_pct_spread,44,NC1,RED,1.6528925619834711,1000.0,
1761416245190,best_pct_spread,45,AI1,LBH,1.7204301075268817,80.0,
1761416245190,best_pct_spread,46,AI1,NN,1.7391304347826086,1000.0,
1761416245190,best_pct_spread,47,NC1,NN,1.7699115044247788,1000.0,
1761416245190,best_pct_spread,48,AI1,RAT,1.834862385321101,3.0,
1761416245190,best_pct_spread,49,CI1,BSE,1.834862385321101,30.0,
1761416245190,best_pct_spread,50,UN,BBH,1.8858560794044665,47.5,
1761416245190,arb_margin,1,NC2->AI1,LIO,483.09037900874637,331.4,
1761416245190,arb_margin,2,NC2->NC1,TCO,284.61538461538464,370.0,
1761416245190,arb_margin,3,NC2->IC1,MGS,194.11764705882354,165.0,
1761416245190,arb_margin,4,AI1->IC1,BFR,117.77777777777777,5300.0,
1761416245190,arb_margin,5,AI1->NC1,NAB,100.0,50.0,
1761416245190,arb_margin,6,NC2->CI1,AUO,98.14814814814815,265.0,
1761416245190,arb_margin,7,CI1->AI1,FEO,66.0377358490566,70.0,
1761416245190,arb_margin,8,NC2->CI1,HE,61.53846153846154,40.0,
1761416245190,arb_margin,9,NC2->AI1,AU,56.666666666666664,680.0,
1761416245190,arb_margin,10,NC2->AI1,NA,56.25,9.0,
1761416245190,arb_margin,11,CI1->NC1,NUT,48.0,120.0,
