guild_id,user_id,private_channel_id,total_public_msgs,total_private_msgs,active_lock,lock_acquired_at
1418530427471269921,100749401743462400,1431341454860619910,0,0,0,0
1418530427471269921,134461783724261376,1431155189577941033,0,0,0,0
1418530427471269921,181069130747740160,1431381811606454322,0,0,0,0
1418530427471269921,217080633850200066,1431155191637475339,0,0,0,0
1418530427471269921,219534014485102593,1431339274225188884,0,0,0,0
1418530427471269921,224304303420997632,1431339282047696909,0,0,0,0
1418530427471269921,302058196896579584,1431198636875710555,0,0,0,0
1418530427471269921,393980649914236930,1431155193533435937,0,0,0,0
1418530427471269921,813642012321513493,1431155196171391119,0,0,0,0
1418530427471269921,827715692673105920,1431155198126067773,0,0,0,0
1418530427471269921,1082609638396133387,1431155201204555879,0,0,0,0
1418530427471269921,1167877716134072382,1431155203436056586,0,0,0,0
1418530427471269921,1364341530172592128,1431155205638066176,0,0,0,0
